Date,Open,High,Low,Close,Adj Close,Volume
2011-01-03 00:00:00-05:00,77.12000274658203,78.11000061035156,73.70999908447266,74.87000274658203,69.3955078125,2884800
2011-01-10 00:00:00-05:00,73.83000183105469,76.19000244140625,72.37000274658203,75.37000274658203,69.9603042602539,2650000
2011-01-17 00:00:00-05:00,75.41000366210938,75.98999786376953,73.33999633789062,73.91999816894531,68.61437225341797,2946600
2011-01-24 00:00:00-05:00,73.86000061035156,77.33999633789062,73.66999816894531,75.69000244140625,70.2573013305664,3072300
2011-01-31 00:00:00-05:00,78.12000274658203,80.2300033569336,77.26000213623047,79.9800033569336,74.23941802978516,3490100
2011-02-07 00:00:00-05:00,80.05000305175781,84.18000030517578,80.01000213623047,83.73999786376953,77.72953796386719,2950600
2011-02-14 00:00:00-05:00,83.81999969482422,85.36000061035156,83.5999984741211,85.29000091552734,79.16825866699219,3058700
2011-02-21 00:00:00-05:00,84.19999694824219,84.7300033569336,81.79000091552734,83.20999908447266,77.23755645751953,2893500
2011-02-28 00:00:00-05:00,83.66999816894531,87.68000030517578,83.0199966430664,85.94999694824219,79.78092193603516,3486400
2011-03-07 00:00:00-05:00,86.43000030517578,86.5199966430664,83.05999755859375,84.47000122070312,78.40711975097656,2927000
2011-03-14 00:00:00-04:00,83.86000061035156,84.3499984741211,80.47000122070312,84.1500015258789,78.11011505126953,3145200
2011-03-21 00:00:00-04:00,85.13999938964844,86.16000366210938,83.70999908447266,85.86000061035156,79.69737243652344,2538800
2011-03-28 00:00:00-04:00,85.94000244140625,88.47000122070312,84.0199966430664,88.33000183105469,81.99009704589844,2946800
2011-04-04 00:00:00-04:00,88.30999755859375,88.76000213623047,84.79000091552734,85.44000244140625,79.30752563476562,2334500
2011-04-11 00:00:00-04:00,85.5199966430664,85.81999969482422,83.51000213623047,84.8499984741211,78.85887145996094,2384500
2011-04-18 00:00:00-04:00,83.86000061035156,86.5199966430664,82.44999694824219,86.37000274658203,80.2715835571289,2672700
2011-04-25 00:00:00-04:00,86.36000061035156,88.55999755859375,85.6500015258789,86.48999786376953,80.38307189941406,3473700
2011-05-02 00:00:00-04:00,86.91999816894531,87.27999877929688,82.98999786376953,83.75,77.83655548095703,3205400
